T(r, t=10):
r = 0.5000t = 0.0000, T = 0.0000
r = 0.6000t = 0.0000, T = 20.0000
r = 0.7000t = 0.0000, T = 40.0000
r = 0.8000t = 0.0000, T = 60.0000
r = 0.9000t = 0.0000, T = 80.0000
r = 1.0000t = 0.0000, T = 100.0000
r = 0.5000t = 0.5000, T = 0.0000
r = 0.6000t = 0.5000, T = 29.9295
r = 0.7000t = 0.5000, T = 55.7128
r = 0.8000t = 0.5000, T = 78.7915
r = 0.9000t = 0.5000, T = 100.0395
r = 1.0000t = 0.5000, T = 120.0000
r = 0.5000t = 1.0000, T = 0.0000
r = 0.6000t = 1.0000, T = 35.6690
r = 0.7000t = 1.0000, T = 66.1153
r = 0.8000t = 1.0000, T = 92.9876
r = 0.9000t = 1.0000, T = 117.3665
r = 1.0000t = 1.0000, T = 140.0000
r = 0.5000t = 1.5000, T = 0.0000
r = 0.6000t = 1.5000, T = 40.9794
r = 0.7000t = 1.5000, T = 75.8993
r = 0.8000t = 1.5000, T = 106.6198
r = 0.9000t = 1.5000, T = 134.3677
r = 1.0000t = 1.5000, T = 160.0000
r = 0.5000t = 2.0000, T = 0.0000
r = 0.6000t = 2.0000, T = 46.2413
r = 0.7000t = 2.0000, T = 85.6113
r = 0.8000t = 2.0000, T = 120.1853
r = 0.9000t = 2.0000, T = 151.3301
r = 1.0000t = 2.0000, T = 180.0000
r = 0.5000t = 2.5000, T = 0.0000
r = 0.6000t = 2.5000, T = 51.4976
r = 0.7000t = 2.5000, T = 95.3150
r = 0.8000t = 2.5000, T = 133.7430
r = 0.9000t = 2.5000, T = 168.2880
r = 1.0000t = 2.5000, T = 200.0000
r = 0.5000t = 3.0000, T = 0.0000
r = 0.6000t = 3.0000, T = 56.7532
r = 0.7000t = 3.0000, T = 105.0177
r = 0.8000t = 3.0000, T = 147.2997
r = 0.9000t = 3.0000, T = 185.2454
r = 1.0000t = 3.0000, T = 220.0000
r = 0.5000t = 3.5000, T = 0.0000
r = 0.6000t = 3.5000, T = 62.0088
r = 0.7000t = 3.5000, T = 114.7203
r = 0.8000t = 3.5000, T = 160.8564
r = 0.9000t = 3.5000, T = 202.2027
r = 1.0000t = 3.5000, T = 240.0000
r = 0.5000t = 4.0000, T = 0.0000
r = 0.6000t = 4.0000, T = 67.2643
r = 0.7000t = 4.0000, T = 124.4229
r = 0.8000t = 4.0000, T = 174.4131
r = 0.9000t = 4.0000, T = 219.1600
r = 1.0000t = 4.0000, T = 260.0000
r = 0.5000t = 4.5000, T = 0.0000
r = 0.6000t = 4.5000, T = 72.5199
r = 0.7000t = 4.5000, T = 134.1254
r = 0.8000t = 4.5000, T = 187.9697
r = 0.9000t = 4.5000, T = 236.1173
r = 1.0000t = 4.5000, T = 280.0000
r = 0.5000t = 5.0000, T = 0.0000
r = 0.6000t = 5.0000, T = 77.7755
r = 0.7000t = 5.0000, T = 143.8280
r = 0.8000t = 5.0000, T = 201.5264
r = 0.9000t = 5.0000, T = 253.0746
r = 1.0000t = 5.0000, T = 300.0000
r = 0.5000t = 5.5000, T = 0.0000
r = 0.6000t = 5.5000, T = 83.0310
r = 0.7000t = 5.5000, T = 153.5306
r = 0.8000t = 5.5000, T = 215.0830
r = 0.9000t = 5.5000, T = 270.0319
r = 1.0000t = 5.5000, T = 320.0000
r = 0.5000t = 6.0000, T = 0.0000
r = 0.6000t = 6.0000, T = 88.2866
r = 0.7000t = 6.0000, T = 163.2332
r = 0.8000t = 6.0000, T = 228.6397
r = 0.9000t = 6.0000, T = 286.9892
r = 1.0000t = 6.0000, T = 340.0000
r = 0.5000t = 6.5000, T = 0.0000
r = 0.6000t = 6.5000, T = 93.5421
r = 0.7000t = 6.5000, T = 172.9357
r = 0.8000t = 6.5000, T = 242.1963
