T(r, t):
r = 0.5000, t = 0.0000, T = 0.0000
r = 0.6000, t = 0.0000, T = 20.0000
r = 0.7000, t = 0.0000, T = 40.0000
r = 0.8000, t = 0.0000, T = 60.0000
r = 0.9000, t = 0.0000, T = 80.0000
r = 1.0000, t = 0.0000, T = 100.0000
r = 0.5000, t = 0.5000, T = 0.0000
r = 0.6000, t = 0.5000, T = 33.7339
r = 0.7000, t = 0.5000, T = 60.4688
r = 0.8000, t = 0.5000, T = 82.8827
r = 0.9000, t = 0.5000, T = 102.4605
r = 1.0000, t = 0.5000, T = 120.0000
r = 0.5000, t = 1.0000, T = 0.0000
r = 0.6000, t = 1.0000, T = 33.6374
r = 0.7000, t = 1.0000, T = 63.9000
r = 0.8000, t = 1.0000, T = 91.2042
r = 0.9000, t = 1.0000, T = 116.2785
r = 1.0000, t = 1.0000, T = 140.0000
r = 0.5000, t = 1.5000, T = 0.0000
r = 0.6000, t = 1.5000, T = 42.3815
r = 0.7000, t = 1.5000, T = 77.2496
r = 0.8000, t = 1.5000, T = 107.6380
r = 0.9000, t = 1.5000, T = 135.0157
r = 1.0000, t = 1.5000, T = 160.0000
r = 0.5000, t = 2.0000, T = 0.0000
r = 0.6000, t = 2.0000, T = 45.2722
r = 0.7000, t = 2.0000, T = 84.8394
r = 0.8000, t = 2.0000, T = 119.6699
r = 0.9000, t = 2.0000, T = 150.9709
r = 1.0000, t = 2.0000, T = 180.0000
r = 0.5000, t = 2.5000, T = 0.0000
r = 0.6000, t = 2.5000, T = 52.2038
r = 0.7000, t = 2.5000, T = 95.7562
r = 0.8000, t = 2.5000, T = 133.9816
r = 0.9000, t = 2.5000, T = 168.4886
r = 1.0000, t = 2.5000, T = 200.0000
r = 0.5000, t = 3.0000, T = 0.0000
r = 0.6000, t = 3.0000, T = 56.2150
r = 0.7000, t = 3.0000, T = 104.7719
r = 0.8000, t = 3.0000, T = 147.2160
r = 0.9000, t = 3.0000, T = 185.1335
r = 1.0000, t = 3.0000, T = 220.0000
r = 0.5000, t = 3.5000, T = 0.0000
r = 0.6000, t = 3.5000, T = 62.4364
r = 0.7000, t = 3.5000, T = 114.8510
r = 0.8000, t = 3.5000, T = 160.8563
r = 0.9000, t = 3.5000, T = 202.2662
r = 1.0000, t = 3.5000, T = 240.0000
r = 0.5000, t = 4.0000, T = 0.0000
r = 0.6000, t = 4.0000, T = 66.9126
r = 0.7000, t = 4.0000, T = 124.3602
r = 0.8000, t = 4.0000, T = 174.4565
r = 0.9000, t = 4.0000, T = 219.1220
r = 1.0000, t = 4.0000, T = 260.0000
r = 0.5000, t = 4.5000, T = 0.0000
r = 0.6000, t = 4.5000, T = 72.8173
r = 0.7000, t = 4.5000, T = 134.1477
r = 0.8000, t = 4.5000, T = 187.9060
r = 0.9000, t = 4.5000, T = 236.1425
r = 1.0000, t = 4.5000, T = 280.0000
r = 0.5000, t = 5.0000, T = 0.0000
r = 0.6000, t = 5.0000, T = 77.5187
r = 0.7000, t = 5.0000, T = 143.8297
r = 0.8000, t = 5.0000, T = 201.5977
r = 0.9000, t = 5.0000, T = 253.0552
r = 1.0000, t = 5.0000, T = 300.0000
r = 0.5000, t = 5.5000, T = 0.0000
r = 0.6000, t = 5.5000, T = 83.2560
r = 0.7000, t = 5.5000, T = 153.5147
r = 0.8000, t = 5.5000, T = 215.0111
r = 0.9000, t = 5.5000, T = 270.0492
r = 1.0000, t = 5.5000, T = 320.0000
r = 0.5000, t = 6.0000, T = 0.0000
r = 0.6000, t = 6.0000, T = 88.0874
r = 0.7000, t = 6.0000, T = 163.2574
r = 0.8000, t = 6.0000, T = 228.7086
r = 0.9000, t = 6.0000, T = 286.9723
r = 1.0000, t = 6.0000, T = 340.0000
r = 0.5000, t = 6.5000, T = 0.0000
